DATE;OPEN;HIGH;LOW;CLOSE
03.04.2020;187.0300000;193.8500000;185.7200000;189.7700000
06.04.2020;192.2500000;193.4400000;189.4400000;191.1000000
07.04.2020;192.7200000;195.1300000;189.8000000;191.2200000
08.04.2020;189.7500000;194.1100000;188.1000000;194.1100000
09.04.2020;195.6900000;196.2600000;189.8800000;193.8600000
10.04.2020;191.8600000;192.4400000;190.5100000;192.0000000
13.04.2020;192.2500000;192.3600000;186.0700000;188.0700000
14.04.2020;189.5700000;191.7600000;188.3000000;190.1100000
15.04.2020;189.1600000;189.4800000;182.5600000;184.2500000
16.04.2020;185.1500000;189.1600000;182.7500000;184.3000000
17.04.2020;187.0700000;187.8700000;183.5400000;184.6800000
20.04.2020;184.1100000;186.2500000;183.0000000;185.5100000
21.04.2020;183.1700000;184.5000000;179.0500000;181.9200000
22.04.2020;181.0900000;188.5500000;180.3300000;188.3600000
23.04.2020;189.9800000;191.5900000;187.5000000;188.7300000
24.04.2020;187.9400000;187.9500000;185.1000000;185.7100000
27.04.2020;186.5300000;188.4700000;185.6900000;186.2900000
28.04.2020;185.9300000;190.6500000;185.7600000;188.5000000
29.04.2020;189.7800000;195.2300000;188.5300000;193.8700000
30.04.2020;195.4400000;196.2000000;189.6200000;190.0000000
04.05.2020;188.0000000;188.1700000;184.5200000;185.7000000
05.05.2020;188.3900000;190.3900000;187.3000000;190.0000000
06.05.2020;190.5300000;191.0500000;187.0500000;187.0500000
07.05.2020;187.5200000;190.3000000;185.5000000;185.8500000
08.05.2020;186.3400000;186.6400000;183.1000000;185.3400000
12.05.2020;184.8800000;187.2000000;183.2000000;186.1700000
13.05.2020;185.5500000;185.5500000;183.8000000;184.2000000
14.05.2020;183.2700000;184.8500000;181.6800000;183.9100000
15.05.2020;185.6200000;186.9800000;183.8500000;183.8500000
18.05.2020;185.4000000;192.5000000;185.1400000;192.5000000
19.05.2020;193.0000000;194.3900000;191.1000000;194.2000000
20.05.2020;193.5700000;197.2700000;192.7900000;196.7400000
21.05.2020;196.1000000;199.2600000;191.4000000;194.7400000
22.05.2020;194.0000000;195.7600000;192.2100000;194.3500000
25.05.2020;195.2100000;197.5500000;195.1100000;197.5500000
26.05.2020;198.8000000;202.3000000;196.3000000;196.8600000
27.05.2020;196.1000000;197.7500000;193.1500000;194.7300000
28.05.2020;194.4000000;196.9800000;194.1700000;196.8600000
29.05.2020;196.2500000;199.9500000;193.2000000;199.9500000
01.06.2020;200.2500000;202.4700000;197.1500000;198.7200000
02.06.2020;199.4800000;202.1900000;198.7200000;201.9700000
03.06.2020;203.1000000;208.1500000;202.0100000;208.0000000
04.06.2020;207.9900000;207.9900000;200.6000000;201.4600000
05.06.2020;202.5600000;204.8400000;201.5100000;203.0500000
08.06.2020;204.9500000;206.5000000;202.9700000;204.9100000
09.06.2020;205.4100000;206.1000000;201.5700000;204.8400000
10.06.2020;204.8800000;205.2700000;200.5300000;201.7500000
11.06.2020;200.1900000;200.1900000;195.1500000;196.7400000
15.06.2020;193.8500000;196.1500000;191.0000000;194.2000000
16.06.2020;196.0600000;199.5900000;195.2000000;196.5900000
17.06.2020;197.7200000;199.0800000;195.2100000;195.8600000
18.06.2020;195.4400000;195.5700000;191.8500000;193.0000000
19.06.2020;194.1700000;196.0700000;193.8200000;195.8100000
22.06.2020;195.3500000;195.3500000;192.6200000;194.3000000
23.06.2020;194.7800000;196.3200000;194.0000000;194.8300000
25.06.2020;191.8000000;192.4800000;190.5500000;192.2500000
26.06.2020;192.8000000;195.6900000;190.5100000;193.0000000
29.06.2020;192.6700000;198.1000000;192.5800000;197.9400000
30.06.2020;197.9000000;198.4800000;193.2400000;194.3100000
02.07.2020;195.3100000;195.8400000;194.4000000;195.2800000
03.07.2020;195.6500000;197.4800000;194.7700000;197.2000000
06.07.2020;199.2100000;201.7500000;198.5300000;199.9900000
07.07.2020;199.7000000;199.9400000;197.7500000;197.9600000
08.07.2020;198.0000000;201.1900000;197.5500000;201.1700000
09.07.2020;201.4800000;202.0000000;198.4000000;199.4400000
10.07.2020;198.2500000;201.7000000;197.2200000;200.9400000
13.07.2020;201.6000000;202.3300000;195.5000000;195.7000000
14.07.2020;195.0900000;196.6500000;192.4800000;193.6000000
15.07.2020;180.6000000;184.2700000;179.8000000;182.2600000
16.07.2020;181.2000000;183.8000000;181.0700000;183.3200000
17.07.2020;183.8000000;184.9300000;182.8700000;184.6500000
20.07.2020;184.6700000;188.4100000;183.8800000;188.3600000
21.07.2020;188.9900000;189.7700000;186.2500000;186.7800000
22.07.2020;187.0300000;188.5900000;186.0700000;187.1500000
23.07.2020;187.5000000;188.3000000;184.4000000;184.6900000
24.07.2020;184.8300000;186.4500000;184.1200000;185.4500000
27.07.2020;185.6000000;185.9200000;184.2000000;185.0300000
28.07.2020;185.1300000;185.4600000;183.6000000;184.3000000
29.07.2020;184.5000000;185.3500000;183.4200000;184.6900000
30.07.2020;184.4400000;184.7300000;180.9100000;182.5200000
31.07.2020;182.6000000;184.8400000;181.6100000;182.5900000
03.08.2020;182.5100000;184.0300000;181.7200000;183.6000000
04.08.2020;184.0600000;184.6800000;182.1700000;183.3100000
05.08.2020;183.5200000;189.9800000;183.3500000;189.1500000
06.08.2020;189.5600000;189.9200000;187.1300000;189.0700000
07.08.2020;188.4400000;188.5700000;185.8100000;187.2300000
10.08.2020;187.4900000;188.8500000;186.8300000;187.7000000
11.08.2020;187.8800000;192.4000000;187.8800000;189.7000000
12.08.2020;190.4700000;193.2900000;189.3200000;192.8000000
13.08.2020;192.5000000;194.4400000;191.2500000;193.7600000
14.08.2020;194.2500000;194.2500000;190.7100000;192.8300000
17.08.2020;193.8400000;194.6800000;189.2000000;190.4700000
18.08.2020;190.0700000;191.9500000;189.2500000;190.3000000
19.08.2020;190.5000000;191.9900000;189.0000000;189.2600000
20.08.2020;188.8000000;188.9400000;185.5800000;186.9500000
21.08.2020;187.2500000;187.7900000;183.5000000;184.5100000
24.08.2020;185.3700000;187.4400000;184.8400000;187.1000000
25.08.2020;187.4500000;187.9900000;184.7300000;186.2500000
26.08.2020;186.2200000;188.0000000;185.0000000;187.4800000
27.08.2020;187.5000000;188.0100000;182.6200000;184.5800000
28.08.2020;184.9600000;185.2200000;182.4800000;182.9000000
31.08.2020;183.1200000;184.2800000;180.5100000;181.0100000
01.09.2020;181.4000000;184.8700000;181.0100000;184.2200000
02.09.2020;184.8000000;186.2900000;181.1000000;181.9500000
03.09.2020;182.4000000;182.5900000;178.6000000;179.1300000
04.09.2020;178.9800000;180.5600000;178.0000000;179.5500000
07.09.2020;178.8200000;179.7500000;175.9400000;177.0400000
08.09.2020;177.0000000;177.4300000;172.4000000;172.9500000
09.09.2020;172.7800000;175.3500000;172.3300000;173.6900000
10.09.2020;173.8000000;174.6400000;171.1100000;173.8000000
11.09.2020;174.3300000;178.2700000;173.1000000;178.0500000
14.09.2020;178.4500000;180.8000000;177.5200000;178.1900000
15.09.2020;178.1300000;182.9500000;178.0100000;182.2200000
16.09.2020;182.6900000;184.1600000;181.3500000;183.2600000
17.09.2020;181.7800000;184.8400000;180.3400000;183.9000000
18.09.2020;184.4000000;184.7000000;181.3400000;181.5200000
21.09.2020;181.3600000;181.3600000;175.3600000;177.1700000
22.09.2020;176.5800000;180.9000000;176.4200000;179.0000000
23.09.2020;179.8100000;180.3700000;176.8100000;177.0000000
24.09.2020;176.0000000;178.4900000;171.9000000;174.2300000
25.09.2020;175.1200000;175.1700000;169.6000000;173.7700000
28.09.2020;174.2400000;175.3800000;171.2900000;172.7400000
29.09.2020;172.7600000;173.4700000;170.0000000;171.4400000
30.09.2020;171.0200000;171.9800000;169.8000000;169.9700000
01.10.2020;171.1800000;171.4000000;167.9700000;168.4000000
02.10.2020;167.5000000;169.9500000;167.2200000;169.4700000
05.10.2020;170.1200000;170.8800000;168.5800000;170.6400000
06.10.2020;170.7000000;173.4100000;170.5000000;171.3500000
07.10.2020;171.7500000;172.2600000;167.0400000;168.2300000
08.10.2020;168.1800000;168.8600000;166.1500000;167.4300000
09.10.2020;167.8000000;168.1900000;165.7700000;166.9700000
12.10.2020;167.6600000;169.8000000;166.8700000;169.0500000
13.10.2020;169.1300000;169.4700000;165.8200000;166.3700000
14.10.2020;166.6100000;167.6300000;165.7100000;167.2400000
15.10.2020;166.8500000;168.8500000;166.0000000;167.1600000
16.10.2020;167.2200000;167.2500000;163.5600000;163.9800000
19.10.2020;164.7600000;165.6000000;163.0000000;163.6000000
20.10.2020;163.7400000;167.1200000;162.8000000;166.5300000
21.10.2020;166.8000000;167.3000000;163.8700000;164.3700000
22.10.2020;163.8500000;166.5300000;163.6600000;165.2700000
23.10.2020;165.1500000;165.8800000;164.3900000;164.9600000
26.10.2020;164.4400000;164.9600000;161.1000000;162.1700000
27.10.2020;162.1800000;162.6200000;158.2100000;159.2100000
28.10.2020;158.9800000;158.9900000;153.7000000;154.3000000
29.10.2020;155.0800000;157.3000000;154.2000000;156.7400000
30.10.2020;155.0900000;156.2000000;154.0800000;154.2800000
02.11.2020;153.9600000;157.9800000;151.9000000;157.7400000
03.11.2020;158.2100000;161.9200000;157.4400000;161.0900000
05.11.2020;163.8100000;165.2500000;161.9900000;163.7000000
06.11.2020;163.0000000;165.8400000;161.5200000;164.9200000
09.11.2020;166.7200000;171.5000000;164.9000000;170.1300000
10.11.2020;169.0300000;173.6400000;167.6300000;172.9200000
11.11.2020;173.5000000;175.1500000;170.2600000;170.5300000
12.11.2020;170.2000000;175.3000000;169.7500000;172.9100000
13.11.2020;172.8800000;181.2700000;172.4200000;180.3000000
16.11.2020;181.0200000;185.6200000;180.3000000;185.3200000
17.11.2020;185.1000000;185.3100000;178.8300000;182.9000000
18.11.2020;182.2600000;187.6900000;180.8000000;185.0000000
19.11.2020;185.2000000;185.8800000;181.9200000;184.1600000
20.11.2020;184.1000000;184.3600000;182.1000000;183.2100000
23.11.2020;183.6400000;185.6300000;182.7700000;184.1500000
24.11.2020;185.0300000;187.3000000;183.9700000;186.7600000
25.11.2020;187.0100000;188.7600000;185.8500000;188.0300000
26.11.2020;188.2500000;189.1000000;184.6000000;185.5200000
27.11.2020;185.1300000;186.7500000;182.5600000;185.9000000
30.11.2020;185.1000000;185.1400000;180.0400000;181.8900000
01.12.2020;182.6000000;188.0900000;181.7800000;185.3400000
02.12.2020;185.0000000;187.2400000;183.1200000;187.2200000
03.12.2020;186.9800000;187.5800000;184.3700000;185.1200000
04.12.2020;186.2000000;189.4200000;185.8500000;188.7900000
07.12.2020;188.2200000;192.8500000;187.8000000;190.7600000
08.12.2020;190.3400000;191.4500000;187.8000000;190.0000000
09.12.2020;190.3000000;193.0900000;189.0500000;189.3500000
10.12.2020;189.5500000;193.5100000;188.6700000;192.9500000
11.12.2020;193.0500000;201.6300000;192.3100000;201.5000000
14.12.2020;203.5000000;207.8500000;198.7800000;199.9100000
15.12.2020;199.0100000;202.2900000;197.0500000;201.0000000
16.12.2020;201.0100000;206.2000000;199.5400000;206.2000000
17.12.2020;206.7000000;215.3800000;206.5100000;214.5200000
18.12.2020;214.0000000;214.5000000;207.2200000;212.6900000
21.12.2020;209.9100000;209.9900000;200.8000000;203.4600000
22.12.2020;200.7400000;210.6800000;199.1900000;208.4000000
23.12.2020;209.0000000;212.7800000;206.2000000;207.6300000
24.12.2020;208.5400000;209.9600000;203.1500000;206.2400000
25.12.2020;206.2000000;206.7300000;204.0100000;205.0300000
28.12.2020;205.5300000;207.8600000;205.1500000;206.1100000
29.12.2020;206.9500000;210.0000000;206.6100000;208.7500000
30.12.2020;209.8800000;213.3800000;209.5000000;212.9800000
04.01.2021;212.7100000;216.6300000;211.6400000;212.7100000
05.01.2021;213.2000000;215.3800000;210.2200000;215.3200000
06.01.2021;215.4800000;216.8000000;213.0700000;214.3800000
08.01.2021;217.1400000;226.2400000;217.0000000;225.4900000
11.01.2021;225.0500000;231.0000000;221.8100000;227.6000000
12.01.2021;229.0000000;231.4400000;225.6600000;228.6900000
13.01.2021;229.2900000;230.3500000;225.2000000;226.8000000
14.01.2021;226.4900000;229.5700000;223.2000000;228.8600000
15.01.2021;227.5000000;230.7000000;226.0000000;226.5000000
18.01.2021;225.5500000;228.5000000;221.3400000;226.8800000
19.01.2021;227.6600000;228.8500000;223.0000000;223.1500000
20.01.2021;223.0000000;225.7800000;221.5500000;224.3000000
21.01.2021;224.4000000;224.9600000;217.2200000;217.2800000
22.01.2021;216.4500000;216.5000000;210.5000000;215.4900000
25.01.2021;216.9000000;219.6600000;214.5300000;218.6800000
26.01.2021;216.8000000;220.2900000;215.7100000;218.8000000
27.01.2021;219.4900000;222.0000000;216.4400000;217.4000000
28.01.2021;215.9100000;219.4900000;214.2600000;217.7000000
29.01.2021;216.7500000;216.7500000;212.4700000;212.8300000
01.02.2021;214.6100000;214.8700000;212.2400000;214.6600000
02.02.2021;215.5000000;219.7400000;213.2500000;214.4200000
03.02.2021;215.4100000;218.4200000;213.7900000;218.1000000
04.02.2021;218.7100000;221.4000000;216.8800000;219.7900000
05.02.2021;220.6800000;222.2100000;219.0000000;222.0100000
08.02.2021;223.0600000;228.0000000;223.0000000;228.0000000
09.02.2021;229.0000000;229.4900000;225.8000000;227.7300000
10.02.2021;227.9800000;228.2900000;221.8000000;223.2400000
11.02.2021;223.4500000;223.6700000;220.7300000;221.3500000
12.02.2021;220.7800000;227.4700000;216.7700000;226.7100000
15.02.2021;228.4900000;230.0000000;226.7000000;229.2200000
16.02.2021;229.9500000;233.2200000;227.5700000;232.4600000
17.02.2021;232.3200000;233.3500000;225.3300000;229.1400000
18.02.2021;228.9800000;228.9800000;224.0100000;224.4700000
19.02.2021;224.0200000;226.2600000;221.1000000;226.0000000
20.02.2021;226.3500000;227.1000000;225.0000000;225.8400000
22.02.2021;226.4900000;227.3000000;223.0400000;225.6300000
24.02.2021;224.4200000;225.6400000;220.8500000;222.5500000
25.02.2021;223.4700000;225.5000000;221.2200000;221.7000000
26.02.2021;220.5600000;221.6800000;217.2000000;217.5600000
01.03.2021;219.3400000;222.0100000;218.2500000;221.4700000
02.03.2021;220.0000000;224.1100000;219.7600000;222.7400000
03.03.2021;224.2000000;226.7900000;221.7000000;222.1500000
04.03.2021;221.8800000;226.6900000;219.5000000;221.1400000
05.03.2021;222.0500000;228.4200000;220.0200000;227.0000000
09.03.2021;227.5100000;233.0700000;226.0500000;232.1000000
10.03.2021;231.8300000;235.5000000;230.6600000;231.6900000
11.03.2021;232.8300000;233.5300000;230.0700000;232.4700000
12.03.2021;232.0100000;234.3900000;230.6000000;233.8000000
15.03.2021;234.9800000;238.0900000;234.4600000;237.7900000
16.03.2021;237.3000000;238.2300000;233.8000000;234.0200000
17.03.2021;234.0000000;234.5600000;227.2100000;229.9000000
18.03.2021;230.0500000;231.7900000;223.7000000;224.3500000
19.03.2021;223.0500000;226.6400000;222.3700000;225.4000000
22.03.2021;225.1400000;225.3400000;220.7900000;221.8800000
23.03.2021;221.3500000;224.4400000;219.8100000;221.6200000
24.03.2021;222.3900000;225.4500000;220.5300000;223.6500000
25.03.2021;224.2000000;225.3800000;222.7000000;224.8400000
26.03.2021;225.7400000;227.6000000;225.1300000;227.3000000
29.03.2021;226.7900000;229.1500000;226.3100000;228.7400000
